method,slope,intercept,prediction_mean,target_mean,raw_mae,affine_mae,raw_rmse,affine_rmse,calibration_use,task_E_uses_affine_mean
C0,1.009397618948902,0.013207967506795815,0.4314134271630179,0.44867565366773166,0.08151444886638168,0.08395734589971508,0.1636579186555289,0.16262307688929745,secondary Task P diagnostic only,False
MC,1.0539343078044143,-0.023416378493007317,0.4479330719807522,0.44867565366773166,0.11086647227107733,0.10308098075949129,0.17955155694201402,0.17621545253341886,secondary Task P diagnostic only,False
PE,1.0117206470951026,0.010098019068957242,0.43349677191825436,0.44867565366773166,0.0800948001135077,0.08199537280349056,0.1617337705774705,0.1608288564557524,secondary Task P diagnostic only,False
DE,1.011330048681589,0.009290056303431382,0.43446310918685865,0.44867565366773166,0.07945370100419648,0.0809511107937056,0.16118352042992343,0.16037644925862488,secondary Task P diagnostic only,False
