volume_id,sample_count,supported_pixels,support_weight_sum,method,tau_hold,high_risk_prevalence,auprc,auroc
file_brain_AXT2_200_2000080,16,4866048,1183261.7603759766,C0,1.7366089820861816,0.3916760168321227,0.8093981120827635,0.8921793317307324
file_brain_AXT2_200_2000080,16,4866048,1183261.7603759766,U1,1.7366089820861816,0.3916760168321227,0.742505919194652,0.8467622268674153
file_brain_AXT2_200_2000080,16,4866048,1183261.7603759766,U2a,1.7366089820861816,0.3916760168321227,0.5083840798138332,0.6929706227129625
file_brain_AXT2_200_2000080,16,4866048,1183261.7603759766,U2b,1.7366089820861816,0.3916760168321227,0.5574104816788458,0.7589864085251288
file_brain_AXT2_200_2000080,16,4866048,1183261.7603759766,B1,1.7366089820861816,0.3916760168321227,0.6531725191291907,0.7940344654806917
file_brain_AXT2_200_2000080,16,4866048,1183261.7603759766,B2,1.7366089820861816,0.3916760168321227,0.6544972199725745,0.8004008315801745
file_brain_AXT2_200_2000080,16,4866048,1183261.7603759766,B3,1.7366089820861816,0.3916760168321227,0.5052109325355715,0.5591345045695789
file_brain_AXT2_200_2000080,16,4866048,1183261.7603759766,B4,1.7366089820861816,0.3916760168321227,0.6412617367478011,0.7840727063413101
file_brain_AXT2_200_2000080,16,4866048,1183261.7603759766,B5,1.7366089820861816,0.3916760168321227,0.3931121902245027,0.5017592803306434
file_brain_AXT2_200_2000080,16,4866048,1183261.7603759766,B6,1.7366089820861816,0.3916760168321227,0.6190957497630313,0.7912035481298196
file_brain_AXT2_200_2000175,16,4866048,1225077.2194213867,C0,1.7366089820861816,0.38911498515814497,0.8283371774470735,0.8885912826870774
file_brain_AXT2_200_2000175,16,4866048,1225077.2194213867,U1,1.7366089820861816,0.3891149851581449,0.7327268429580078,0.8193499854691465
file_brain_AXT2_200_2000175,16,4866048,1225077.2194213867,U2a,1.7366089820861816,0.3891149851581449,0.5245245282173132,0.6964885138873059
file_brain_AXT2_200_2000175,16,4866048,1225077.2194213867,U2b,1.7366089820861816,0.3891149851581449,0.5576820506262794,0.7552911902751402
file_brain_AXT2_200_2000175,16,4866048,1225077.2194213867,B1,1.7366089820861816,0.38911498515814497,0.6914016694687787,0.8142977877367885
file_brain_AXT2_200_2000175,16,4866048,1225077.2194213867,B2,1.7366089820861816,0.38911498515814497,0.7014174312131284,0.822305297619445
file_brain_AXT2_200_2000175,16,4866048,1225077.2194213867,B3,1.7366089820861816,0.38911498515814497,0.5162232175974526,0.5929782608541171
file_brain_AXT2_200_2000175,16,4866048,1225077.2194213867,B4,1.7366089820861816,0.38911498515814497,0.6598358482703364,0.7968610999217195
file_brain_AXT2_200_2000175,16,4866048,1225077.2194213867,B5,1.7366089820861816,0.38911498515814497,0.39006181833647846,0.5012204984881113
file_brain_AXT2_200_2000175,16,4866048,1225077.2194213867,B6,1.7366089820861816,0.38911498515814497,0.62460732983952,0.7941001628136867
file_brain_AXT2_200_2000360,16,4866048,1316783.5888671875,C0,1.7366089820861816,0.3772059614262127,0.8943675198264084,0.9361992375104584
file_brain_AXT2_200_2000360,16,4866048,1316783.5888671875,U1,1.7366089820861816,0.3772059614262127,0.7688498553643545,0.8575576225954565
file_brain_AXT2_200_2000360,16,4866048,1316783.5888671875,U2a,1.7366089820861816,0.3772059614262127,0.4232746486830256,0.5980286476227347
file_brain_AXT2_200_2000360,16,4866048,1316783.5888671875,U2b,1.7366089820861816,0.3772059614262127,0.390023366678553,0.579933357633883
file_brain_AXT2_200_2000360,16,4866048,1316783.5888671875,B1,1.7366089820861816,0.3772059614262127,0.5441582344306889,0.6941000580743173
file_brain_AXT2_200_2000360,16,4866048,1316783.5888671875,B2,1.7366089820861816,0.3772059614262127,0.5450466338296825,0.6930563283501974
file_brain_AXT2_200_2000360,16,4866048,1316783.5888671875,B3,1.7366089820861816,0.3772059614262127,0.4421448282336698,0.5422592100805408
file_brain_AXT2_200_2000360,16,4866048,1316783.5888671875,B4,1.7366089820861816,0.3772059614262127,0.6653844083472816,0.812647280855494
file_brain_AXT2_200_2000360,16,4866048,1316783.5888671875,B5,1.7366089820861816,0.3772059614262127,0.3776607647811291,0.5006486945326227
file_brain_AXT2_200_2000360,16,4866048,1316783.5888671875,B6,1.7366089820861816,0.3772059614262127,0.4919405374169037,0.6991622986593325
file_brain_AXT2_200_2000362,16,4866048,1371689.7202148438,C0,1.7366089820861816,0.34144381144240576,0.8924702781828706,0.9442586508216625
file_brain_AXT2_200_2000362,16,4866048,1371689.7202148438,U1,1.7366089820861816,0.3414438114424057,0.8663726812989105,0.9095665230478964
file_brain_AXT2_200_2000362,16,4866048,1371689.7202148438,U2a,1.7366089820861816,0.3414438114424057,0.3534038012932992,0.5562238401024471
file_brain_AXT2_200_2000362,16,4866048,1371689.7202148438,U2b,1.7366089820861816,0.3414438114424057,0.3407800051069868,0.5561417785766751
file_brain_AXT2_200_2000362,16,4866048,1371689.7202148438,B1,1.7366089820861816,0.34144381144240576,0.5956612668179048,0.7997602794060727
file_brain_AXT2_200_2000362,16,4866048,1371689.7202148438,B2,1.7366089820861816,0.34144381144240576,0.6044855709873568,0.8117425113283265
file_brain_AXT2_200_2000362,16,4866048,1371689.7202148438,B3,1.7366089820861816,0.34144381144240576,0.3817826100932653,0.5277877694216103
file_brain_AXT2_200_2000362,16,4866048,1371689.7202148438,B4,1.7366089820861816,0.34144381144240576,0.7090323564248621,0.8284188701156459
file_brain_AXT2_200_2000362,16,4866048,1371689.7202148438,B5,1.7366089820861816,0.34144381144240576,0.3413450930755239,0.49972718323464177
file_brain_AXT2_200_2000362,16,4866048,1371689.7202148438,B6,1.7366089820861816,0.34144381144240576,0.4915601261179178,0.7422160067877086
file_brain_AXT2_200_6001972,16,4866048,1424020.3322753906,C0,1.7366089820861816,0.2653765214517858,0.5610939930805067,0.8178626879076375
file_brain_AXT2_200_6001972,16,4866048,1424020.3322753906,U1,1.7366089820861816,0.2653765214517858,0.5094630129581308,0.7282724203148642
file_brain_AXT2_200_6001972,16,4866048,1424020.3322753906,U2a,1.7366089820861816,0.2653765214517858,0.2946795536815859,0.5981512225385407
file_brain_AXT2_200_6001972,16,4866048,1424020.3322753906,U2b,1.7366089820861816,0.2653765214517858,0.3518275862481871,0.6875893924907528
file_brain_AXT2_200_6001972,16,4866048,1424020.3322753906,B1,1.7366089820861816,0.2653765214517858,0.3717724957115408,0.6959335556137413
file_brain_AXT2_200_6001972,16,4866048,1424020.3322753906,B2,1.7366089820861816,0.2653765214517858,0.3680769730298151,0.6949908016570392
