threshold_name,threshold_value,method,n_volumes,estimate,ci_low,ci_high,confidence_level,bootstrap_replicates,bootstrap_seed,direction
q85,1.4107755422592163,C0,40,0.9294972351955032,0.9137813721578972,0.9438576661399924,0.95,1000,20260725,higher_is_better
q85,1.4107755422592163,U1,40,0.8564023031105743,0.8343990181436899,0.8768366509874488,0.95,1000,20260725,higher_is_better
q85,1.4107755422592163,U2a,40,0.6175431044366279,0.5901467368620993,0.644837625418557,0.95,1000,20260725,higher_is_better
q85,1.4107755422592163,U2b,40,0.6904431783127952,0.6494247321159444,0.7294328494520931,0.95,1000,20260725,higher_is_better
q85,1.4107755422592163,B1,40,0.7656108428595371,0.7378898196007838,0.7932993363352883,0.95,1000,20260725,higher_is_better
q85,1.4107755422592163,B2,40,0.7686813501557862,0.7405466956873621,0.796722992461603,0.95,1000,20260725,higher_is_better
q85,1.4107755422592163,B3,40,0.5692011690464032,0.5486707147641574,0.5908410531721712,0.95,1000,20260725,higher_is_better
q85,1.4107755422592163,B4,40,0.7584879953952374,0.7303687877192121,0.78599222524162,0.95,1000,20260725,higher_is_better
q85,1.4107755422592163,B5,40,0.5100949573130942,0.4884555477354522,0.5317323903083198,0.95,1000,20260725,higher_is_better
q85,1.4107755422592163,B6,40,0.749905825738724,0.7197089682668628,0.7779796769692598,0.95,1000,20260725,higher_is_better
q90,1.7366089820861816,C0,40,0.8282116797883073,0.8014918932484675,0.8537978882991061,0.95,1000,20260725,higher_is_better
q90,1.7366089820861816,U1,40,0.7143068117952909,0.6862074031038481,0.7418075798786218,0.95,1000,20260725,higher_is_better
q90,1.7366089820861816,U2a,40,0.3993900104111844,0.3766638382683391,0.423318177903939,0.95,1000,20260725,higher_is_better
q90,1.7366089820861816,U2b,40,0.4237806216055226,0.3931421273110859,0.4554465201874929,0.95,1000,20260725,higher_is_better
q90,1.7366089820861816,B1,40,0.5765248290720664,0.5499677651106614,0.6048853432464796,0.95,1000,20260725,higher_is_better
q90,1.7366089820861816,B2,40,0.5800312323768176,0.553722183480084,0.6089296415527602,0.95,1000,20260725,higher_is_better
q90,1.7366089820861816,B3,40,0.4328416410075526,0.4114770017619953,0.4555823249401858,0.95,1000,20260725,higher_is_better
q90,1.7366089820861816,B4,40,0.5750050779678562,0.541652764394474,0.6106662069319627,0.95,1000,20260725,higher_is_better
q90,1.7366089820861816,B5,40,0.351057833894855,0.3304433844572462,0.373262327293176,0.95,1000,20260725,higher_is_better
q90,1.7366089820861816,B6,40,0.5318821698127004,0.5032539308356306,0.5619575166458901,0.95,1000,20260725,higher_is_better
q95,2.0520856380462646,C0,40,0.6230838723068232,0.5942898671787608,0.6519160189337071,0.95,1000,20260725,higher_is_better
q95,2.0520856380462646,U1,40,0.481641289612625,0.456387444683609,0.507026315937511,0.95,1000,20260725,higher_is_better
q95,2.0520856380462646,U2a,40,0.195193260162447,0.1850823458177412,0.206337289549326,0.95,1000,20260725,higher_is_better
q95,2.0520856380462646,U2b,40,0.1910992960665727,0.1786444934125488,0.2044984714186796,0.95,1000,20260725,higher_is_better
q95,2.0520856380462646,B1,40,0.3414964807299574,0.3257145738996818,0.3578315028048159,0.95,1000,20260725,higher_is_better
q95,2.0520856380462646,B2,40,0.344313212243897,0.3278974468601798,0.3614276514461741,0.95,1000,20260725,higher_is_better
q95,2.0520856380462646,B3,40,0.2587980148270678,0.244173722301965,0.2728416812618799,0.95,1000,20260725,higher_is_better
q95,2.0520856380462646,B4,40,0.3274410325692023,0.3040195344054571,0.3535703332946577,0.95,1000,20260725,higher_is_better
q95,2.0520856380462646,B5,40,0.1806302830975081,0.1689210551545497,0.193580538913312,0.95,1000,20260725,higher_is_better
q95,2.0520856380462646,B6,40,0.2873890307399952,0.271479774222155,0.3045159034042952,0.95,1000,20260725,higher_is_better
