threshold_name,threshold_value,volume_id,sample_count,supported_pixels,support_weight_sum,method,high_risk_prevalence,auprc,auroc
q85,1.4107755422592163,file_brain_AXT2_200_2000080,16,4866048,1183261.7603759766,C0,0.5731416596403585,0.9648658983496747,0.9654399444551276
q85,1.4107755422592163,file_brain_AXT2_200_2000080,16,4866048,1183261.7603759766,U1,0.5731416596403585,0.9117539271956294,0.8967561987023376
q85,1.4107755422592163,file_brain_AXT2_200_2000080,16,4866048,1183261.7603759766,U2a,0.5731416596403585,0.7525246099125035,0.7814997110089852
q85,1.4107755422592163,file_brain_AXT2_200_2000080,16,4866048,1183261.7603759766,U2b,0.5731416596403585,0.8731578234094957,0.9058846252132248
q85,1.4107755422592163,file_brain_AXT2_200_2000080,16,4866048,1183261.7603759766,B1,0.5731416596403585,0.8742739580689308,0.8812425906775139
q85,1.4107755422592163,file_brain_AXT2_200_2000080,16,4866048,1183261.7603759766,B2,0.5731416596403585,0.8760456158220341,0.885676725419709
q85,1.4107755422592163,file_brain_AXT2_200_2000080,16,4866048,1183261.7603759766,B3,0.5731416596403585,0.6416228519266067,0.5124505495327468
q85,1.4107755422592163,file_brain_AXT2_200_2000080,16,4866048,1183261.7603759766,B4,0.5731416596403585,0.8541281676616025,0.8619997405732047
q85,1.4107755422592163,file_brain_AXT2_200_2000080,16,4866048,1183261.7603759766,B5,0.5731416596403585,0.5746680758975586,0.5020206717096859
q85,1.4107755422592163,file_brain_AXT2_200_2000080,16,4866048,1183261.7603759766,B6,0.5731416596403585,0.8621990074115691,0.8885184552116258
q95,2.0520856380462646,file_brain_AXT2_200_2000080,16,4866048,1183261.7603759766,C0,0.17147180206577295,0.5236728114996415,0.847649012248714
q95,2.0520856380462646,file_brain_AXT2_200_2000080,16,4866048,1183261.7603759766,U1,0.17147180206577295,0.4118183972637064,0.8076444938786095
q95,2.0520856380462646,file_brain_AXT2_200_2000080,16,4866048,1183261.7603759766,U2a,0.17147180206577295,0.2271183365314919,0.6456445397642485
q95,2.0520856380462646,file_brain_AXT2_200_2000080,16,4866048,1183261.7603759766,U2b,0.17147180206577295,0.21899193573176107,0.6546960477762748
q95,2.0520856380462646,file_brain_AXT2_200_2000080,16,4866048,1183261.7603759766,B1,0.17147180206577295,0.32584894238818457,0.7367660152090066
q95,2.0520856380462646,file_brain_AXT2_200_2000080,16,4866048,1183261.7603759766,B2,0.17147180206577295,0.32337958337983075,0.7443247554592037
q95,2.0520856380462646,file_brain_AXT2_200_2000080,16,4866048,1183261.7603759766,B3,0.17147180206577295,0.29313082263772744,0.6033622196343522
q95,2.0520856380462646,file_brain_AXT2_200_2000080,16,4866048,1183261.7603759766,B4,0.17147180206577295,0.3245721198724271,0.7377813260040557
q95,2.0520856380462646,file_brain_AXT2_200_2000080,16,4866048,1183261.7603759766,B5,0.17147180206577295,0.17242165108298005,0.5017903740582891
q95,2.0520856380462646,file_brain_AXT2_200_2000080,16,4866048,1183261.7603759766,B6,0.17147180206577295,0.30451216397278785,0.7367016814118068
q85,1.4107755422592163,file_brain_AXT2_200_2000175,16,4866048,1225077.2194213867,C0,0.6053331526473114,0.9776992701351908,0.9713870466614563
q85,1.4107755422592163,file_brain_AXT2_200_2000175,16,4866048,1225077.2194213867,U1,0.6053331526473114,0.9292080922707767,0.8924660848190559
